district,hazard,rp,dk_tot,dw_tot,res_tot,fa,dk_famax,dw_famax
Rathnapura,PF,50.0,40122.65166510247,130991.99964695565,0.3062984897798294,0.95,40122.65166510247,130991.99964695565
Rathnapura,PF,100.0,40158.20892394392,133149.91066452645,0.3016014710300725,0.95,40158.20892394392,133149.91066452645
Rathnapura,PF,250.0,40347.40538330186,133917.00396389648,0.30128664911126124,0.95,40347.40538330186,133917.00396389648
Rathnapura,PF,500.0,40347.40538330183,132748.23588278715,0.30393929617963,0.95,40347.40538330183,132748.23588278715
Rathnapura,PF,1000.0,40347.67073597982,130080.8823083559,0.3101737166906349,0.95,40347.67073597982,130080.8823083559
Trincomalee,PF,5.0,5321.977314974029,15833.404056828755,0.33612338167285793,0.43,0.0,0.0
Trincomalee,PF,10.0,6140.722290693848,17438.097848531874,0.3521440436928641,0.49,0.0,0.0
Trincomalee,PF,25.0,7351.698209282415,21648.162030493942,0.3395991862462363,0.58,0.0,0.0
Trincomalee,PF,50.0,8045.188431051027,24095.775135010917,0.3338837777981024,0.64,0.0,0.0
Trincomalee,PF,100.0,8453.076218163675,25268.531404635767,0.33452977867217376,0.67,0.0,0.0
Trincomalee,PF,250.0,9091.767485078632,27908.854270281125,0.3257664179629203,0.72,0.0,0.0
Trincomalee,PF,500.0,9691.856532564669,29189.178197347508,0.33203595068823794,0.78,0.0,0.0
Trincomalee,PF,1000.0,10094.61535345949,30737.271546105938,0.32841611651566266,0.81,0.0,0.0
Vavuniya,PF,5.0,202.5557710754553,524.509211807742,0.3861815322124444,0.02,0.0,0.0
Vavuniya,PF,10.0,254.85340753809675,668.7872715803658,0.3810679693946178,0.03,0.0,0.0
Vavuniya,PF,25.0,307.5413248698623,776.962108056799,0.3958253841220527,0.03,0.0,0.0
Vavuniya,PF,50.0,328.2262109334445,849.8727761335922,0.386206288930298,0.04,0.0,0.0
Vavuniya,PF,100.0,358.2778378560072,954.9542898948797,0.37517799715360817,0.04,0.0,0.0
Vavuniya,PF,250.0,374.6696343592235,1046.1380415093367,0.3581455023073832,0.04,0.0,0.0
Vavuniya,PF,500.0,413.69772127164214,1046.8604381752948,0.3951794395752772,0.05,0.0,0.0
Vavuniya,PF,1000.0,429.3089560366098,1095.3006225473096,0.3919553656768479,0.05,0.0,0.0
