district,hazard,rp,c,di0,dc_post_reco
Ampara,PF,25.0,196494.49609532388,18572.31229875329,222.09828293962508
Ampara,PF,25.0,55824.65413836826,6450.726596336695,800.9363509300398
Ampara,PF,25.0,190925.44381581355,30105.076125062362,404.58529872141503
Ampara,PF,25.0,185623.20111375058,25906.84299454083,351.31628331034034
Ampara,PF,25.0,159873.78004023852,24685.382167911004,431.38248472306253
Ampara,PF,25.0,109804.39879782543,7190.982364782658,196.62671428159283
Ampara,PF,25.0,45122.27429873637,7417.764174401214,8255.135193654818
Ampara,PF,25.0,120916.57004716176,11287.978337456478,266.8409794877365
Ampara,PF,25.0,57150.903282905216,3733.812636723279,347.3496966281638
Ampara,PF,25.0,100873.02787940188,9699.705946218512,325.35717124275675
Ampara,PF,25.0,133598.97800284298,10393.216680295796,206.6340874983132
Ampara,PF,25.0,98112.05030982768,13397.127303464304,518.7522299623329
Ampara,PF,25.0,119991.70127164882,9334.651900234709,222.092735981712
Ampara,PF,25.0,214839.41233807613,36068.22490238357,427.6936851276466
Ampara,PF,25.0,38514.64452830704,5210.554453272489,5210.554453272489
Ampara,PF,25.0,123217.41593813125,23863.10541780964,608.3816792469412
